cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
48;1;2003;2003m01;24;3;Seropédica;3305554;Baixada Fluminense;4;0;0;4;0;4;2;23;1;5;8;1;1;0;2;5;1;1;0;0;0.0;0;0;;7;16;1;1;0;0;;26;28;0;0;0;0;4;;;;2;;;;;28;0;1;0;0;0;139;3
50;1;2003;2003m01;24;3;Itaguaí;3302007;Baixada Fluminense;7;0;0;7;0;7;5;58;1;2;33;5;6;0;11;4;0;3;5;0;0.0;0;1;;5;29;4;0;0;1;;32;37;0;0;0;8;4;;;;4;;;;;79;3;0;0;0;0;246;3
51;1;2003;2003m01;24;3;Paracambi;3303609;Baixada Fluminense;2;0;0;2;0;2;2;29;2;0;7;0;0;0;0;4;2;0;0;0;0.0;0;0;;2;8;1;1;0;0;;13;15;0;0;0;2;1;;;;2;;;;;26;2;0;0;0;0;91;3
52;1;2003;2003m01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;6;0;0;6;2;8;1;91;7;0;34;26;16;8;50;67;14;9;3;0;0.0;0;11;;47;201;37;17;0;10;;74;138;0;0;0;10;3;;;;27;;;;;94;1;1;0;0;0;585;3
53;1;2003;2003m01;20;3;Mesquita;3302858;Baixada Fluminense;8;0;0;8;4;12;2;106;5;1;14;10;6;1;17;16;1;4;0;0;0.0;0;0;;12;50;9;1;0;2;;38;50;0;0;0;1;9;;;;20;;;;;89;4;1;0;0;0;372;3
54;1;2003;2003m01;20;3;Belford Roxo;3300456;Baixada Fluminense;20;0;0;20;3;23;4;224;8;0;28;6;8;3;17;43;7;8;1;0;0.0;0;3;;24;103;18;6;0;7;;53;84;0;0;0;4;11;;;;41;;;;;211;15;2;0;0;0;703;3
55;1;2003;2003m01;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;11;0;0;11;0;11;8;63;4;1;24;7;2;4;13;5;2;2;4;0;0.0;0;0;;6;32;5;1;0;2;;44;52;0;0;0;3;5;;;;5;;;;;49;12;0;0;0;0;268;3
56;1;2003;2003m01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;27;0;0;27;2;29;7;75;2;3;23;4;3;6;13;30;3;7;5;0;0.0;0;1;;16;75;7;2;0;3;;28;40;0;0;0;1;17;;;;15;;;;;89;9;0;0;0;0;380;3
57;1;2003;2003m01;20;3;Nilópolis;3303203;Baixada Fluminense;5;1;1;7;0;7;1;66;3;1;15;17;8;4;29;46;4;4;0;0;0.0;0;4;;35;122;40;5;0;6;;39;90;0;2;0;6;9;;;;40;;;;;74;6;0;0;0;0;447;3
58;1;2003;2003m01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;29;0;0;29;1;30;8;116;6;6;45;6;2;9;17;43;5;4;1;0;0.0;0;0;;27;97;26;0;0;2;;43;71;0;0;0;5;5;;;;42;;;;;128;6;1;0;0;0;569;3
59;1;2003;2003m01;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;0;2;16;5;21;2;113;7;4;41;69;36;29;134;203;15;19;4;0;0.0;0;19;;157;551;44;20;0;7;;97;168;0;2;0;24;22;;;;128;;;;;155;14;3;0;0;0;1221;3
60;1;2003;2003m01;15;3;Duque de Caxias;3301702;Baixada Fluminense;21;0;0;21;0;21;9;62;2;4;46;7;5;22;34;37;6;6;0;0;0.0;1;0;;22;106;8;1;1;2;;35;47;0;0;0;1;5;;;;38;;;;;39;9;2;0;0;0;370;3
61;1;2003;2003m01;15;3;Duque de Caxias;3301702;Baixada Fluminense;2;0;0;2;0;2;2;19;0;0;17;1;1;2;4;5;1;2;0;0;0.0;0;0;;3;15;6;1;1;0;;12;20;0;0;0;2;0;;;;24;;;;;24;1;0;0;0;0;124;3
62;1;2003;2003m01;15;3;Duque de Caxias;3301702;Baixada Fluminense;12;0;0;12;3;15;1;25;0;0;6;6;3;9;18;22;4;1;1;0;0.0;0;0;;14;60;5;1;0;0;;15;21;0;0;0;2;15;;;;14;;;;;27;3;1;0;0;0;172;3
64;1;2003;2003m01;20;3;São João de Meriti;3305109;Baixada Fluminense;17;0;2;19;3;22;7;187;9;1;41;24;20;7;51;70;8;16;1;0;0.0;1;4;;48;199;44;6;0;5;;88;143;1;0;0;20;12;;;;84;;;;;85;7;2;0;0;0;898;3
65;1;2003;2003m01;34;5;"Magé;Guapimirim";9999982;Baixada Fluminense;4;0;0;4;0;4;0;76;2;1;67;1;2;2;5;5;3;1;3;0;0.0;0;0;;4;21;4;2;0;5;;47;58;0;0;0;6;7;;;;6;;;;;70;4;0;0;0;0;285;3
