ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total,ID_CAMPANHA
1,350,45,2022-09-23 00:00:00,4,Online,5795.64,17
2,925,68,2024-02-09 00:00:00,1,Loja Física,4614.41,16
3,915,75,2022-09-11 00:00:00,4,Online,2057.48,17
4,494,47,2024-05-10 00:00:00,4,Loja Física,12864.44,9
5,523,79,2023-10-15 00:00:00,4,Loja Física,13317.28,5
6,98,30,2022-10-11 00:00:00,1,Loja Física,3282.59,11
7,946,24,2024-02-24 00:00:00,4,Loja Física,18611.12,16
8,71,66,2024-03-07 00:00:00,2,Online,5811.56,16
9,364,43,2023-06-18 00:00:00,2,Loja Física,70319.4,7
10,570,34,2023-05-12 00:00:00,4,Online,1445.64,7
11,802,23,2023-10-04 00:00:00,3,Loja Física,13944.27,5
12,763,61,2022-09-02 00:00:00,3,Online,14425.53,17
13,276,95,2022-10-09 00:00:00,1,Loja Física,1742.87,11
14,50,37,2023-03-27 00:00:00,1,Online,3419.9,19
15,358,13,2022-03-21 00:00:00,2,Loja Física,8671.44,2
16,728,97,2024-01-01 00:00:00,2,Loja Física,9758.36,18
17,906,71,2022-10-20 00:00:00,4,Loja Física,7356.52,11
18,928,96,2022-08-29 00:00:00,3,Online,1285.14,17
19,564,7,2022-10-06 00:00:00,2,Loja Física,7670.56,11
20,783,42,2022-12-10 00:00:00,3,Loja Física,10455.99,3
21,485,38,2022-11-24 00:00:00,1,Online,1928.3,11
22,84,52,2024-07-03 00:00:00,1,Online,3372.03,4
23,899,44,2023-07-08 00:00:00,4,Loja Física,13113.32,14
24,805,64,2022-03-24 00:00:00,4,Online,8277,2
25,638,13,2022-05-22 00:00:00,2,Online,8671.44,8
26,808,88,2022-06-04 00:00:00,3,Loja Física,741.39,8
27,584,28,2022-08-25 00:00:00,2,Online,9957.18,17
28,296,96,2023-01-28 00:00:00,2,Online,856.76,3
29,236,82,2023-12-12 00:00:00,3,Online,13325.58,18
30,56,98,2022-06-06 00:00:00,2,Loja Física,8206.34,8
31,919,98,2023-12-25 00:00:00,4,Online,16412.68,18
32,360,1,2022-08-08 00:00:00,3,Loja Física,4897.83,17
33,907,43,2022-03-07 00:00:00,3,Loja Física,10547.91,12
34,110,42,2023-03-01 00:00:00,2,Online,6970.66,19
35,192,95,2023-02-22 00:00:00,3,Loja Física,5228.61,19
36,904,50,2022-12-05 00:00:00,4,Loja Física,14220.72,11
37,93,60,2023-07-10 00:00:00,4,Loja Física,16135.08,14
38,862,1,2023-04-23 00:00:00,1,Loja Física,1632.61,7
39,568,51,2023-03-02 00:00:00,1,Online,2330.34,19
40,60,16,2022-03-05 00:00:00,1,Loja Física,4954.33,12
41,650,39,2022-07-31 00:00:00,1,Loja Física,4714.29,17
42,39,15,2024-05-02 00:00:00,2,Loja Física,5893.32,9
43,540,33,2023-03-07 00:00:00,1,Online,3006.48,19
44,49,87,2023-02-03 00:00:00,1,Online,4986.47,3
45,420,53,2024-07-15 00:00:00,1,Loja Física,4203.1,4
46,637,98,2024-02-28 00:00:00,1,Loja Física,4103.17,16
47,13,17,2023-08-22 00:00:00,2,Online,7615.96,14
48,992,89,2024-08-26 00:00:00,1,Online,4497.09,20
49,36,6,2023-12-14 00:00:00,3,Online,9469.02,18
50,101,31,2022-01-21 00:00:00,4,Loja Física,16166.52,12
51,794,69,2024-05-27 00:00:00,3,Online,8872.89,9
52,86,40,2024-06-20 00:00:00,2,Online,1840.1,4
53,516,30,2024-02-23 00:00:00,2,Loja Física,6565.18,16
54,223,69,2023-08-13 00:00:00,2,Loja Física,5915.26,14
55,338,76,2023-01-25 00:00:00,4,Online,12294.2,3
56,960,7,2023-05-04 00:00:00,1,Loja Física,3835.28,7
57,166,13,2022-01-07 00:00:00,2,Loja Física,8671.44,12
58,383,4,2024-08-23 00:00:00,1,Loja Física,170.47,20
59,856,50,2022-12-27 00:00:00,2,Online,7110.36,3
60,895,3,2022-11-02 00:00:00,4,Loja Física,4947.56,11
61,376,12,2024-02-11 00:00:00,3,Loja Física,9481.83,16
62,471,65,2023-02-04 00:00:00,3,Loja Física,2559.27,3
63,790,27,2024-05-23 00:00:00,4,Loja Física,4548.08,9
64,642,50,2024-07-02 00:00:00,1,Loja Física,3555.18,4
65,31,77,2024-09-03 00:00:00,2,Loja Física,8833.54,20
66,375,17,2024-05-05 00:00:00,3,Loja Física,11423.94,9
67,11,72,2023-03-06 00:00:00,4,Loja Física,1419,19
68,988,32,2023-07-06 00:00:00,1,Loja Física,3603.99,14
69,302,84,2024-02-05 00:00:00,3,Online,11140.17,16
70,96,51,2024-01-23 00:00:00,4,Loja Física,9321.36,16
71,190,17,2023-07-14 00:00:00,2,Loja Física,7615.96,14
72,453,34,2024-03-30 00:00:00,4,Loja Física,1445.64,9
73,192,35,2023-09-10 00:00:00,1,Loja Física,2328.35,5
74,486,99,2024-07-08 00:00:00,3,Loja Física,12832.44,4
75,266,24,2022-08-14 00:00:00,2,Loja Física,9305.56,17
76,424,54,2023-05-15 00:00:00,1,Online,931.67,7
77,128,18,2022-08-13 00:00:00,4,Loja Física,9068.96,17
78,238,50,2022-10-07 00:00:00,3,Loja Física,10665.54,11
79,920,46,2023-03-23 00:00:00,3,Online,2596.23,19
80,355,48,2023-05-13 00:00:00,1,Online,3036.58,7
81,940,33,2022-01-30 00:00:00,2,Online,6012.96,12
82,112,87,2023-02-03 00:00:00,1,Loja Física,4986.47,3
83,828,89,2022-12-11 00:00:00,3,Loja Física,13491.27,3
84,446,27,2023-11-16 00:00:00,3,Loja Física,3411.06,18
85,343,1,2023-11-27 00:00:00,3,Loja Física,4897.83,18
86,145,85,2024-03-28 00:00:00,2,Loja Física,3007.9,9
87,65,59,2023-02-19 00:00:00,3,Loja Física,12620.88,19
88,247,10,2024-01-12 00:00:00,3,Online,94070.40000000001,18
89,735,95,2022-06-19 00:00:00,1,Loja Física,1742.87,8
90,991,25,2024-05-10 00:00:00,3,Loja Física,5326.02,9
91,490,84,2023-04-24 00:00:00,4,Online,14853.56,7
92,825,57,2024-07-30 00:00:00,1,Loja Física,3087.52,4
93,439,66,2022-05-11 00:00:00,3,Online,8717.34,2
94,106,15,2023-09-30 00:00:00,1,Online,2946.66,5
95,181,28,2023-07-01 00:00:00,1,Online,4978.59,14
96,184,13,2022-01-28 00:00:00,4,Online,17342.88,12
97,226,14,2024-07-17 00:00:00,1,Loja Física,2975.99,4
98,777,66,2023-02-08 00:00:00,1,Loja Física,2905.78,3
99,790,34,2023-08-30 00:00:00,2,Loja Física,722.82,14
100,909,99,2023-08-01 00:00:00,3,Loja Física,12832.44,14
101,89,25,2023-11-10 00:00:00,2,Loja Física,3550.68,5
102,688,54,2022-01-28 00:00:00,3,Loja Física,2795.01,12
103,530,79,2022-03-27 00:00:00,1,Online,3329.32,2
104,371,12,2023-10-21 00:00:00,3,Online,9481.83,5
105,972,9,2023-03-15 00:00:00,1,Online,4201.89,19
106,936,31,2022-05-19 00:00:00,3,Online,12124.89,8
107,913,78,2024-06-06 00:00:00,1,Online,4426.28,4
108,399,93,2023-04-18 00:00:00,3,Loja Física,12756.6,19
109,106,53,2022-07-06 00:00:00,3,Loja Física,12609.3,8
110,271,43,2022-02-21 00:00:00,3,Online,10547.91,12
111,975,38,2022-09-24 00:00:00,1,Online,1928.3,17
112,831,42,2023-01-24 00:00:00,3,Loja Física,10455.99,3
113,503,72,2022-12-02 00:00:00,1,Loja Física,354.75,11
114,679,48,2022-08-05 00:00:00,2,Loja Física,6073.16,17
115,525,67,2023-04-11 00:00:00,3,Loja Física,4372.08,19
116,849,66,2022-12-01 00:00:00,4,Loja Física,11623.12,11
117,32,16,2022-12-12 00:00:00,4,Online,19817.32,3
118,393,83,2024-02-19 00:00:00,1,Online,1063.6,16
119,40,94,2024-06-19 00:00:00,4,Online,1622.92,4
120,660,16,2023-01-24 00:00:00,1,Loja Física,4954.33,3
121,218,31,2022-10-12 00:00:00,1,Online,4041.63,11
122,731,58,2024-02-10 00:00:00,4,Online,14112.92,16
123,981,28,2024-09-01 00:00:00,4,Online,19914.36,20
124,82,4,2024-05-01 00:00:00,2,Loja Física,340.94,9
125,845,10,2023-03-08 00:00:00,1,Loja Física,3135.68,19
126,720,51,2022-09-16 00:00:00,4,Loja Física,9321.36,17
127,201,18,2024-05-04 00:00:00,2,Loja Física,4534.48,9
128,447,47,2022-03-25 00:00:00,2,Online,6432.22,2
129,844,32,2023-04-27 00:00:00,1,Online,3603.99,7
130,428,30,2022-01-20 00:00:00,3,Loja Física,9847.77,12
131,38,36,2024-02-07 00:00:00,4,Loja Física,13625.8,16
132,211,9,2023-07-07 00:00:00,4,Loja Física,16807.56,14
133,444,36,2022-02-23 00:00:00,4,Online,13625.8,12
134,327,29,2024-09-01 00:00:00,4,Loja Física,19629.92,20
135,761,16,2022-12-25 00:00:00,4,Online,19817.32,3
136,227,92,2022-08-18 00:00:00,4,Loja Física,9514.2,17
137,48,21,2023-10-28 00:00:00,2,Loja Física,2442.98,5
138,18,64,2022-03-12 00:00:00,1,Loja Física,2069.25,2
139,912,66,2024-03-10 00:00:00,2,Online,5811.56,16
140,439,59,2024-09-07 00:00:00,4,Loja Física,16827.84,20
141,807,99,2023-10-30 00:00:00,1,Online,4277.48,5
142,708,28,2022-02-11 00:00:00,4,Online,19914.36,12
