ID_Venda;ID_Cliente;ID_Produto;Data;Quantidade;Canal;Valor_Total;faixa_etaria
1;350;45;2022-09-23;4;Online;5795.64;Adulto
2;925;68;2024-02-09;1;Loja Física;4614.41;Adulto
3;915;75;2022-09-11;4;Online;2057.48;Adulto
4;494;47;2024-05-10;4;Loja Física;12864.44;Adulto
5;523;79;2023-10-15;4;Loja Física;13317.28;Adulto
6;98;30;2022-10-11;1;Loja Física;3282.59;Adulto
7;946;24;2024-02-24;4;Loja Física;18611.12;Adulto
8;71;66;2024-03-07;2;Online;5811.56;Adulto
9;364;43;2023-06-18;2;Loja Física;70319.4;Adulto
10;570;34;2023-05-12;4;Online;1445.64;Adulto
11;802;23;2023-10-04;3;Loja Física;13944.27;Adulto
12;763;61;2022-09-02;3;Online;14425.53;Adulto
13;276;95;2022-10-09;1;Loja Física;1742.87;Adulto
14;50;37;2023-03-27;1;Online;3419.9;Adulto
15;358;13;2022-03-21;2;Loja Física;8671.44;Adulto
16;728;97;2024-01-01;2;Loja Física;9758.36;Adulto
17;906;71;2022-10-20;4;Loja Física;7356.52;Adulto
18;928;96;2022-08-29;3;Online;1285.14;Adulto
19;564;7;2022-10-06;2;Loja Física;7670.56;Adulto
20;783;42;2022-12-10;3;Loja Física;10455.99;Adulto
21;485;38;2022-11-24;1;Online;1928.3;Adulto
22;84;52;2024-07-03;1;Online;3372.03;Adulto
23;899;44;2023-07-08;4;Loja Física;13113.32;Adulto
24;805;64;2022-03-24;4;Online;8277.0;Adulto
25;638;13;2022-05-22;2;Online;8671.44;Adulto
26;808;88;2022-06-04;3;Loja Física;741.39;Adulto
27;584;28;2022-08-25;2;Online;9957.18;Adulto
28;296;96;2023-01-28;2;Online;856.76;Jovem
29;236;82;2023-12-12;3;Online;13325.58;Jovem
30;56;98;2022-06-06;2;Loja Física;8206.34;Adulto
31;919;98;2023-12-25;4;Online;16412.68;Adulto
32;360;1;2022-08-08;3;Loja Física;4897.83;Adulto
33;907;43;2022-03-07;3;Loja Física;10547.91;Adulto
34;110;42;2023-03-01;2;Online;6970.66;Adulto
35;192;95;2023-02-22;3;Loja Física;5228.61;Adulto
36;904;50;2022-12-05;4;Loja Física;14220.72;Adulto
37;93;60;2023-07-10;4;Loja Física;16135.08;Idoso
38;862;1;2023-04-23;1;Loja Física;1632.61;Adulto
39;568;51;2023-03-02;1;Online;2330.34;Jovem
40;60;16;2022-03-05;1;Loja Física;4954.33;Idoso
41;650;39;2022-07-31;1;Loja Física;4714.29;Idoso
42;39;15;2024-05-02;2;Loja Física;5893.32;Idoso
43;540;33;2023-03-07;1;Online;3006.48;Adulto
44;49;87;2023-02-03;1;Online;4986.47;Adulto
45;420;53;2024-07-15;1;Loja Física;4203.1;Idoso
46;637;98;2024-02-28;1;Loja Física;4103.17;Idoso
47;13;17;2023-08-22;2;Online;7615.96;Adulto
48;992;89;2024-08-26;1;Online;4497.09;Adulto
49;36;6;2023-12-14;3;Online;9469.02;Adulto
50;101;31;2022-01-21;4;Loja Física;16166.52;Idoso
51;794;69;2024-05-27;3;Online;8872.89;Adulto
52;86;40;2024-06-20;2;Online;1840.1;Adulto
53;516;30;2024-02-23;2;Loja Física;6565.18;Adulto
54;223;69;2023-08-13;2;Loja Física;5915.26;Adulto
55;338;76;2023-01-25;4;Online;12294.2;Adulto
56;960;7;2023-05-04;1;Loja Física;3835.28;Adulto
57;166;13;2022-01-07;2;Loja Física;8671.44;Adulto
58;383;4;2024-08-23;1;Loja Física;170.47;Adulto
59;856;50;2022-12-27;2;Online;7110.36;Adulto
60;895;3;2022-11-02;4;Loja Física;4947.56;Adulto
61;376;12;2024-02-11;3;Loja Física;9481.83;Adulto
62;471;65;2023-02-04;3;Loja Física;2559.27;Adulto
63;790;27;2024-05-23;4;Loja Física;4548.08;Adulto
64;642;50;2024-07-02;1;Loja Física;3555.18;Adulto
65;31;77;2024-09-03;2;Loja Física;8833.54;Idoso
66;375;17;2024-05-05;3;Loja Física;11423.94;Idoso
67;11;72;2023-03-06;4;Loja Física;1419.0;Adulto
68;988;32;2023-07-06;1;Loja Física;3603.99;Adulto
69;302;84;2024-02-05;3;Online;11140.17;Adulto
70;96;51;2024-01-23;4;Loja Física;9321.36;Adulto
71;190;17;2023-07-14;2;Loja Física;7615.96;Adulto
72;453;34;2024-03-30;4;Loja Física;1445.64;Idoso
73;192;35;2023-09-10;1;Loja Física;2328.35;Adulto
74;486;99;2024-07-08;3;Loja Física;12832.44;Adulto
75;266;24;2022-08-14;2;Loja Física;9305.56;Adulto
76;424;54;2023-05-15;1;Online;931.67;Adulto
77;128;18;2022-08-13;4;Loja Física;9068.96;Adulto
78;238;50;2022-10-07;3;Loja Física;10665.54;Adulto
79;920;46;2023-03-23;3;Online;2596.23;Idoso
80;355;48;2023-05-13;1;Online;3036.58;Adulto
81;940;33;2022-01-30;2;Online;6012.96;Adulto
82;112;87;2023-02-03;1;Loja Física;4986.47;Idoso
83;828;89;2022-12-11;3;Loja Física;13491.27;Adulto
84;446;27;2023-11-16;3;Loja Física;3411.06;Adulto
85;343;1;2023-11-27;3;Loja Física;4897.83;Adulto
86;145;85;2024-03-28;2;Loja Física;3007.9;Jovem
87;65;59;2023-02-19;3;Loja Física;12620.88;Adulto
88;247;10;2024-01-12;3;Online;94070.4;Adulto
89;735;95;2022-06-19;1;Loja Física;1742.87;Adulto
90;991;25;2024-05-10;3;Loja Física;5326.02;Adulto
91;490;84;2023-04-24;4;Online;14853.56;Adulto
92;825;57;2024-07-30;1;Loja Física;3087.52;Adulto
93;439;66;2022-05-11;3;Online;8717.34;Adulto
94;106;15;2023-09-30;1;Online;2946.66;Adulto
95;181;28;2023-07-01;1;Online;4978.59;Idoso
96;184;13;2022-01-28;4;Online;17342.88;Adulto
97;226;14;2024-07-17;1;Loja Física;2975.99;Idoso
98;777;66;2023-02-08;1;Loja Física;2905.78;Adulto
99;790;34;2023-08-30;2;Loja Física;722.82;Adulto
100;909;99;2023-08-01;3;Loja Física;12832.44;Adulto
101;89;25;2023-11-10;2;Loja Física;3550.68;Adulto
102;688;54;2022-01-28;3;Loja Física;2795.01;Adulto
103;530;79;2022-03-27;1;Online;3329.32;Adulto
104;371;12;2023-10-21;3;Online;9481.83;Adulto
105;972;9;2023-03-15;1;Online;4201.89;Jovem
106;936;31;2022-05-19;3;Online;12124.89;Adulto
107;913;78;2024-06-06;1;Online;4426.28;Adulto
108;399;93;2023-04-18;3;Loja Física;12756.6;Adulto
109;106;53;2022-07-06;3;Loja Física;12609.3;Adulto
110;271;43;2022-02-21;3;Online;10547.91;Adulto
111;975;38;2022-09-24;1;Online;1928.3;Adulto
112;831;42;2023-01-24;3;Loja Física;10455.99;Adulto
113;503;72;2022-12-02;1;Loja Física;354.75;Adulto
114;679;48;2022-08-05;2;Loja Física;6073.16;Adulto
115;525;67;2023-04-11;3;Loja Física;4372.08;Adulto
116;849;66;2022-12-01;4;Loja Física;11623.12;Adulto
117;32;16;2022-12-12;4;Online;19817.32;Adulto
118;393;83;2024-02-19;1;Online;1063.6;Adulto
119;40;94;2024-06-19;4;Online;1622.92;Idoso
120;660;16;2023-01-24;1;Loja Física;4954.33;Adulto
121;218;31;2022-10-12;1;Online;4041.63;Idoso
122;731;58;2024-02-10;4;Online;14112.92;Idoso
123;981;28;2024-09-01;4;Online;19914.36;Adulto
124;82;4;2024-05-01;2;Loja Física;340.94;Adulto
125;845;10;2023-03-08;1;Loja Física;3135.68;Idoso
126;720;51;2022-09-16;4;Loja Física;9321.36;Idoso
127;201;18;2024-05-04;2;Loja Física;4534.48;Adulto
128;447;47;2022-03-25;2;Online;6432.22;Adulto
129;844;32;2023-04-27;1;Online;3603.99;Adulto
130;428;30;2022-01-20;3;Loja Física;9847.77;Adulto
131;38;36;2024-02-07;4;Loja Física;13625.8;Idoso
132;211;9;2023-07-07;4;Loja Física;16807.56;Adulto
133;444;36;2022-02-23;4;Online;13625.8;Adulto
134;327;29;2024-09-01;4;Loja Física;19629.92;Adulto
135;761;16;2022-12-25;4;Online;19817.32;Adulto
136;227;92;2022-08-18;4;Loja Física;9514.2;Adulto
137;48;21;2023-10-28;2;Loja Física;2442.98;Adulto
138;18;64;2022-03-12;1;Loja Física;2069.25;Adulto
139;912;66;2024-03-10;2;Online;5811.56;Adulto
